_LOAD_CONST_INLINE_BORROW,_SET_IP
_START_EXECUTOR,_CHECK_VALIDITY
_LOAD_FAST_0,_GUARD_TYPE_VERSION
_SET_IP,_GUARD_BOTH_INT
_GUARD_BOTH_INT,_BINARY_OP_ADD_INT
_LOAD_FAST_7,_LOAD_CONST_INLINE_BORROW
_COMPARE_OP_STR,_GUARD_IS_FALSE_POP
_JUMP_TO_TOP,_CHECK_VALIDITY
_GUARD_IS_FALSE_POP,_LOAD_FAST_7
_CHECK_VALIDITY,_GUARD_IS_FALSE_POP
_CHECK_PERIODIC,_CHECK_VALIDITY
_GUARD_TYPE_VERSION,_CHECK_MANAGED_OBJECT_HAS_VALUES
_CHECK_MANAGED_OBJECT_HAS_VALUES,_LOAD_ATTR_INSTANCE_VALUE_0
_CONTAINS_OP_SET,_CHECK_VALIDITY
_SET_IP,_CONTAINS_OP_SET
_LOAD_FAST_0,_LOAD_FAST_1
_LOAD_FAST_1,_SET_IP
_CHECK_VALIDITY,_LOAD_FAST_0
_LOAD_FAST_1,_LOAD_CONST_INLINE_BORROW
_LOAD_FAST_1,_BINARY_SUBSCR_STR_INT
_BINARY_OP_ADD_INT,_STORE_FAST_1
_LOAD_FAST_3,_SET_IP
_BINARY_SUBSCR,_CHECK_VALIDITY
_CHECK_VALIDITY,_ITER_CHECK_LIST
_CALL_BUILTIN_FAST,_CHECK_PERIODIC
_GUARD_IS_FALSE_POP,_LOAD_FAST_1
_CHECK_FUNCTION_EXACT_ARGS,_CHECK_STACK_SPACE
_SAVE_RETURN_OFFSET,_PUSH_FRAME
_PUSH_FRAME,_CHECK_VALIDITY
_ITER_CHECK_LIST,_GUARD_NOT_EXHAUSTED_LIST
_CHECK_VALIDITY,_RESUME_CHECK
_SET_IP,_CALL_BUILTIN_FAST
_SET_IP,_BINARY_SUBSCR
_TO_BOOL_BOOL,_GUARD_IS_FALSE_POP
_GUARD_BOTH_UNICODE,_COMPARE_OP_STR
_LOAD_CONST_INLINE_BORROW,_GUARD_BOTH_UNICODE
_LOAD_FAST_5,_LOAD_CONST_INLINE_BORROW
_STORE_FAST_7,_LOAD_FAST_7
_LOAD_FAST_7,_LOAD_FAST_3
_CHECK_VALIDITY,_SET_IP
_BINARY_SUBSCR_STR_INT,_STORE_FAST_7
