first_opcode,second_opcode,first_length,second_length,sum,combined
_CALL_METHOD_DESCRIPTOR_O,_BEFORE_ASYNC_WITH,674,859,1533,1521
_CALL_METHOD_DESCRIPTOR_O,_BEFORE_WITH,674,859,1533,1521
_CALL_METHOD_DESCRIPTOR_O,_BINARY_OP,674,340,1014,923
_CALL_METHOD_DESCRIPTOR_O,_BINARY_OP_ADD_FLOAT,674,397,1071,1084
_CALL_METHOD_DESCRIPTOR_O,_BINARY_OP_ADD_INT,674,228,902,872
_CALL_METHOD_DESCRIPTOR_O,_BINARY_OP_ADD_UNICODE,674,228,902,872
_CALL_METHOD_DESCRIPTOR_O,_BINARY_OP_MULTIPLY_FLOAT,674,397,1071,1084
_CALL_METHOD_DESCRIPTOR_O,_BINARY_OP_MULTIPLY_INT,674,228,902,872
_CALL_METHOD_DESCRIPTOR_O,_BINARY_OP_SUBTRACT_FLOAT,674,397,1071,1084
_CALL_METHOD_DESCRIPTOR_O,_BINARY_OP_SUBTRACT_INT,674,228,902,872
_CALL_METHOD_DESCRIPTOR_O,_BINARY_SLICE,674,360,1034,948
_CALL_METHOD_DESCRIPTOR_O,_BINARY_SUBSCR,674,326,1000,919
_CALL_METHOD_DESCRIPTOR_O,_BINARY_SUBSCR_DICT,674,415,1089,984
_CALL_METHOD_DESCRIPTOR_O,_BINARY_SUBSCR_LIST_INT,674,352,1026,989
_CALL_METHOD_DESCRIPTOR_O,_BINARY_SUBSCR_STR_INT,674,497,1171,1237
_CALL_METHOD_DESCRIPTOR_O,_BINARY_SUBSCR_TUPLE_INT,674,348,1022,995
_CALL_METHOD_DESCRIPTOR_O,_BUILD_CONST_KEY_MAP,674,547,1221,1143
_CALL_METHOD_DESCRIPTOR_O,_BUILD_LIST,674,163,837,771
_CALL_METHOD_DESCRIPTOR_O,_BUILD_MAP,674,369,1043,947
_CALL_METHOD_DESCRIPTOR_O,_BUILD_SET,674,495,1169,1107
_CALL_METHOD_DESCRIPTOR_O,_BUILD_SLICE,674,492,1166,1126
_CALL_METHOD_DESCRIPTOR_O,_BUILD_STRING,674,367,1041,919
_CALL_METHOD_DESCRIPTOR_O,_BUILD_TUPLE,674,163,837,771
_CALL_METHOD_DESCRIPTOR_O,_CALL_BUILTIN_CLASS,674,602,1276,1184
_CALL_METHOD_DESCRIPTOR_O,_CALL_BUILTIN_FAST,674,603,1277,1192
_CALL_METHOD_DESCRIPTOR_O,_CALL_BUILTIN_FAST_WITH_KEYWORDS,674,603,1277,1194
_CALL_METHOD_DESCRIPTOR_O,_CALL_BUILTIN_O,674,624,1298,1176
_CALL_METHOD_DESCRIPTOR_O,_CALL_INTRINSIC_1,674,223,897,841
_CALL_METHOD_DESCRIPTOR_O,_CALL_INTRINSIC_2,674,343,1017,930
_CALL_METHOD_DESCRIPTOR_O,_CALL_ISINSTANCE,674,561,1235,1143
_CALL_METHOD_DESCRIPTOR_O,_CALL_LEN,674,466,1140,1054
_CALL_METHOD_DESCRIPTOR_O,_CALL_METHOD_DESCRIPTOR_FAST,674,621,1295,1189
_CALL_METHOD_DESCRIPTOR_O,_CALL_METHOD_DESCRIPTOR_FAST_WITH_KEYWORDS,674,621,1295,1183
_CALL_METHOD_DESCRIPTOR_O,_CALL_METHOD_DESCRIPTOR_NOARGS,674,601,1275,1128
_CALL_METHOD_DESCRIPTOR_O,_CALL_METHOD_DESCRIPTOR_O,674,674,1348,1160
_CALL_METHOD_DESCRIPTOR_O,_CALL_STR_1,674,462,1136,1039
_CALL_METHOD_DESCRIPTOR_O,_CALL_TUPLE_1,674,462,1136,1039
_CALL_METHOD_DESCRIPTOR_O,_CALL_TYPE_1,674,452,1126,1109
_CALL_METHOD_DESCRIPTOR_O,_CHECK_ATTR_CLASS,674,88,762,737
_CALL_METHOD_DESCRIPTOR_O,_CHECK_ATTR_METHOD_LAZY_DICT,674,75,749,724
_CALL_METHOD_DESCRIPTOR_O,_CHECK_ATTR_MODULE,674,96,770,745
_CALL_METHOD_DESCRIPTOR_O,_CHECK_ATTR_WITH_HINT,674,70,744,719
_CALL_METHOD_DESCRIPTOR_O,_CHECK_CALL_BOUND_METHOD_EXACT_ARGS,674,122,796,761
_CALL_METHOD_DESCRIPTOR_O,_CHECK_EG_MATCH,674,629,1303,1246
_CALL_METHOD_DESCRIPTOR_O,_CHECK_EXC_MATCH,674,353,1027,956
_CALL_METHOD_DESCRIPTOR_O,_CHECK_FUNCTION_EXACT_ARGS,674,152,826,794
_CALL_METHOD_DESCRIPTOR_O,_CHECK_MANAGED_OBJECT_HAS_VALUES,674,115,789,732
_CALL_METHOD_DESCRIPTOR_O,_CHECK_PEP_523,674,67,741,691
_CALL_METHOD_DESCRIPTOR_O,_CHECK_STACK_SPACE,674,127,801,770
_CALL_METHOD_DESCRIPTOR_O,_CHECK_VALIDITY,674,69,743,693
_CALL_METHOD_DESCRIPTOR_O,_COMPARE_OP,674,498,1172,1094
_CALL_METHOD_DESCRIPTOR_O,_COMPARE_OP_FLOAT,674,334,1008,987
_CALL_METHOD_DESCRIPTOR_O,_COMPARE_OP_INT,674,405,1079,1070
_CALL_METHOD_DESCRIPTOR_O,_COMPARE_OP_STR,674,325,999,944
_CALL_METHOD_DESCRIPTOR_O,_CONTAINS_OP,674,362,1036,955
_CALL_METHOD_DESCRIPTOR_O,_CONVERT_VALUE,674,216,890,834
_CALL_METHOD_DESCRIPTOR_O,_COPY,674,107,781,759
_CALL_METHOD_DESCRIPTOR_O,_COPY_FREE_VARS,674,202,876,827
_CALL_METHOD_DESCRIPTOR_O,_DELETE_ATTR,674,244,918,842
_CALL_METHOD_DESCRIPTOR_O,_DELETE_DEREF,674,234,908,829
_CALL_METHOD_DESCRIPTOR_O,_DELETE_FAST,674,294,968,885
_CALL_METHOD_DESCRIPTOR_O,_DELETE_GLOBAL,674,200,874,804
_CALL_METHOD_DESCRIPTOR_O,_DELETE_NAME,674,219,893,823
_CALL_METHOD_DESCRIPTOR_O,_DELETE_SUBSCR,674,325,999,922
_CALL_METHOD_DESCRIPTOR_O,_DICT_MERGE,674,334,1008,944
_CALL_METHOD_DESCRIPTOR_O,_DICT_UPDATE,674,387,1061,983
_CALL_METHOD_DESCRIPTOR_O,_END_SEND,674,162,836,813
_CALL_METHOD_DESCRIPTOR_O,_EXIT_INIT_CHECK,674,129,803,777
_CALL_METHOD_DESCRIPTOR_O,_EXIT_TRACE,674,41,715,643
_CALL_METHOD_DESCRIPTOR_O,_FORMAT_SIMPLE,674,227,901,847
_CALL_METHOD_DESCRIPTOR_O,_FORMAT_WITH_SPEC,674,326,1000,919
_CALL_METHOD_DESCRIPTOR_O,_FOR_ITER_TIER_TWO,674,309,983,923
_CALL_METHOD_DESCRIPTOR_O,_GET_AITER,674,517,1191,1123
_CALL_METHOD_DESCRIPTOR_O,_GET_ANEXT,674,450,1124,1160
_CALL_METHOD_DESCRIPTOR_O,_GET_AWAITABLE,674,501,1175,1193
_CALL_METHOD_DESCRIPTOR_O,_GET_ITER,674,202,876,830
_CALL_METHOD_DESCRIPTOR_O,_GET_LEN,674,112,786,776
_CALL_METHOD_DESCRIPTOR_O,_GET_YIELD_FROM_ITER,674,283,957,940
_CALL_METHOD_DESCRIPTOR_O,_GUARD_BOTH_FLOAT,674,83,757,754
_CALL_METHOD_DESCRIPTOR_O,_GUARD_BOTH_INT,674,83,757,754
_CALL_METHOD_DESCRIPTOR_O,_GUARD_BOTH_UNICODE,674,83,757,754
_CALL_METHOD_DESCRIPTOR_O,_GUARD_BUILTINS_VERSION,674,95,769,727
_CALL_METHOD_DESCRIPTOR_O,_GUARD_DORV_VALUES,674,63,737,712
_CALL_METHOD_DESCRIPTOR_O,_GUARD_DORV_VALUES_INST_ATTR_FROM_DICT,674,115,789,732
_CALL_METHOD_DESCRIPTOR_O,_GUARD_GLOBALS_VERSION,674,95,769,727
_CALL_METHOD_DESCRIPTOR_O,_GUARD_IS_FALSE_POP,674,80,754,729
_CALL_METHOD_DESCRIPTOR_O,_GUARD_IS_NONE_POP,674,80,754,722
_CALL_METHOD_DESCRIPTOR_O,_GUARD_IS_NOT_NONE_POP,674,215,889,820
_CALL_METHOD_DESCRIPTOR_O,_GUARD_IS_TRUE_POP,674,80,754,729
_CALL_METHOD_DESCRIPTOR_O,_GUARD_KEYS_VERSION,674,83,757,732
_CALL_METHOD_DESCRIPTOR_O,_GUARD_NOT_EXHAUSTED_LIST,674,76,750,725
_CALL_METHOD_DESCRIPTOR_O,_GUARD_NOT_EXHAUSTED_RANGE,674,64,738,713
_CALL_METHOD_DESCRIPTOR_O,_GUARD_NOT_EXHAUSTED_TUPLE,674,76,750,725
_CALL_METHOD_DESCRIPTOR_O,_GUARD_TYPE_VERSION,674,79,753,728
_CALL_METHOD_DESCRIPTOR_O,_INIT_CALL_BOUND_METHOD_EXACT_ARGS,674,302,976,944
_CALL_METHOD_DESCRIPTOR_O,_INIT_CALL_PY_EXACT_ARGS,674,759,1433,1442
_CALL_METHOD_DESCRIPTOR_O,_INSERT,674,103,777,743
_CALL_METHOD_DESCRIPTOR_O,_IS_NONE,674,190,864,850
_CALL_METHOD_DESCRIPTOR_O,_IS_OP,674,312,986,930
_CALL_METHOD_DESCRIPTOR_O,_ITER_CHECK_LIST,674,73,747,722
_CALL_METHOD_DESCRIPTOR_O,_ITER_CHECK_RANGE,674,73,747,722
_CALL_METHOD_DESCRIPTOR_O,_ITER_CHECK_TUPLE,674,73,747,722
_CALL_METHOD_DESCRIPTOR_O,_ITER_NEXT_LIST,674,109,783,782
_CALL_METHOD_DESCRIPTOR_O,_ITER_NEXT_RANGE,674,111,785,771
_CALL_METHOD_DESCRIPTOR_O,_ITER_NEXT_TUPLE,674,106,780,779
_CALL_METHOD_DESCRIPTOR_O,_JUMP_TO_TOP,674,94,768,703
_CALL_METHOD_DESCRIPTOR_O,_LIST_APPEND,674,140,814,761
_CALL_METHOD_DESCRIPTOR_O,_LIST_EXTEND,674,429,1103,1022
_CALL_METHOD_DESCRIPTOR_O,_LOAD_ASSERTION_ERROR,674,94,768,743
_CALL_METHOD_DESCRIPTOR_O,_LOAD_ATTR,674,380,1054,1098
_CALL_METHOD_DESCRIPTOR_O,_LOAD_ATTR_CLASS,674,231,905,883
